Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","C_0805_2012Metric",73.300000,-87.000000,0.000000,top
"C2","10µF","C_0805_2012Metric",77.500000,-77.000000,180.000000,top
"C3","100µF","C_1206_3216Metric",81.100000,-37.200000,0.000000,top
"C4","10µF","C_0805_2012Metric",77.500000,-75.000000,180.000000,top
"C5","1µF","C_0603_1608Metric",78.800000,-72.525000,90.000000,top
"C9","1µF","C_0603_1608Metric",75.750000,-85.750000,-90.000000,top
"C10","100µF","C_1206_3216Metric",75.500000,-37.250000,0.000000,top
"C11","10µF","C_0805_2012Metric",73.300000,-85.000000,0.000000,top
"C12","10µF","C_0805_2012Metric",72.366652,-62.250000,0.000000,top
"C13","1µF","C_0603_1608Metric",81.250000,-61.500000,0.000000,top
"C14","10µF","C_0805_2012Metric",79.000000,-58.100000,180.000000,top
"C15","1µF","C_0603_1608Metric",81.250000,-66.500000,0.000000,top
"C16","10uF","C_0805_2012Metric",78.200000,-53.100000,0.000000,top
"C18","1µF","C_0603_1608Metric",77.950000,-47.112500,180.000000,top
"D1","D","D_SOD-323",80.750000,-76.750000,0.000000,top
"D3","D","D_SOD-323",74.250000,-45.000000,90.000000,top
"D4","D","D_SOD-323",79.000000,-60.000000,180.000000,top
"D5","D","D_SOD-323",81.300000,-63.250000,180.000000,top
"D6","D","D_SOD-323",82.000000,-59.250000,-90.000000,top
"D7","18V","D_SOD-323",82.050000,-72.525000,-90.000000,top
"L3","10µH","L_APV_ANR5040",79.500000,-86.750000,90.000000,top
"L4","10µH","L_APV_ANR5040",79.500000,-80.750000,180.000000,top
"L5","10µH","L_APV_ANR5040",76.750000,-64.250000,90.000000,top
"Q1","BSS84","SOT-23",81.500000,-44.750000,90.000000,top
"R1","33k","R_0603_1608Metric",74.250000,-79.750000,0.000000,top
"R3","100k","R_0603_1608Metric",72.500000,-74.000000,0.000000,top
"R4","2K","R_0603_1608Metric",74.500000,-52.250000,0.000000,top
"R5","100K","R_0603_1608Metric",81.500000,-47.500000,180.000000,top
"R6","2K","R_0603_1608Metric",77.950000,-45.612500,0.000000,top
"R7","100k","R_0603_1608Metric",74.250000,-78.250000,180.000000,top
"R8","100k","R_0603_1608Metric",72.500000,-72.500000,0.000000,top
"R9","100k","R_0603_1608Metric",71.633348,-55.345826,0.000000,top
"R10","100k","R_0603_1608Metric",71.633348,-56.845826,0.000000,top
"R11","100k","R_0603_1608Metric",75.116652,-55.250000,180.000000,top
"R12","6,8k","R_0603_1608Metric",75.116652,-56.750000,0.000000,top
"R13","15k","R_0603_1608Metric",81.250000,-65.000000,0.000000,top
"R14","TBD","R_0603_1608Metric",80.300000,-72.525000,-90.000000,top
"RV1","Varistor","R_0603_1608Metric",71.500000,-43.250000,0.000000,top
"U2","LGS6302B5","SOT-23-5",73.254152,-59.450000,180.000000,top
"U3","LGS6302B5","SOT-23-5",74.500000,-82.250000,180.000000,top
"U4","MCP73831","SOT-23-5",78.000000,-50.000000,90.000000,top
