Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C2, C4",0805,6,10µF,
"C10, C3",1206,2,100µF,
"C13, C15, C18, C5, C9",0603,5,1µF,
C16,0805,1,10uF,
"D1, D3, D4, D5, D6",D_SOD-323,5,D,
D2,LED_D3.0mm,1,LED_CHR,
D7,D_SOD-323,1,18V,
"J1, J4",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
"L3, L4, L5",L_APV_ANR5040,3,10µH,
Q1,SOT-23,1,BSS84,C85202
R1,0603,1,33k,
"R10, R11, R3, R5, R7, R8, R9",0603,7,100k,
R12,0603,1,"6,8k",
R13,0603,1,15k,
R14,0603,1,TBD,
"R4, R6",0603,2,2K,
RV1,0603,1,Varistor,
"U2, U3",SOT-23-5,2,LGS6302B5,
U4,SOT-23-5,1,MCP73831,C14879
