Designator,Mid X,Mid Y,Rotation,Layer
C1,73.3,-87.0,0.0,top
C10,75.5,-37.25,0.0,top
C11,73.3,-85.0,0.0,top
C12,72.366652,-62.25,0.0,top
C13,81.25,-61.5,0.0,top
C14,79.0,-58.1,180.0,top
C15,81.25,-66.5,0.0,top
C16,78.2,-53.1,0.0,top
C18,77.95,-47.1125,180.0,top
C2,77.5,-77.0,180.0,top
C3,81.1,-37.2,0.0,top
C4,77.5,-75.0,180.0,top
C5,78.8,-72.525,90.0,top
C9,75.75,-85.75,270.0,top
D1,80.75,-76.75,0.0,top
D2,72.25,-49.0,90.0,top
D3,74.25,-45.0,90.0,top
D4,79.0,-60.0,180.0,top
D5,81.3,-63.25,180.0,top
D6,82.0,-59.25,270.0,top
D7,82.05,-72.525,270.0,top
J1,70.75,-34.75,0.0,top
J2,73.25,-31.0,180.0,top
J3,82.6,-54.0,270.0,bottom
J4,70.75,-37.25,0.0,top
L3,79.5,-86.75,90.0,top
L4,79.5,-80.75,180.0,top
L5,76.75,-64.25,90.0,top
Q1,81.5,-44.75,270.0,top
R1,74.25,-79.75,0.0,top
R10,71.633348,-56.845826,0.0,top
R11,75.116652,-55.25,180.0,top
R12,75.116652,-56.75,0.0,top
R13,81.25,-65.0,0.0,top
R14,80.3,-72.525,270.0,top
R3,72.5,-74.0,0.0,top
R4,74.5,-52.25,0.0,top
R5,81.5,-47.5,180.0,top
R6,77.95,-45.6125,0.0,top
R7,74.25,-78.25,180.0,top
R8,72.5,-72.5,0.0,top
R9,71.633348,-55.345826,0.0,top
RV1,71.5,-43.25,0.0,top
U2,73.254152,-59.45,0.0,top
U3,74.5,-82.25,0.0,top
U4,78.0,-50.0,270.0,top
